Sr. No.,Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
2273,22:45:10,11-11-2022,21479566010,26465332176,130408.39,UK pounds,US dollar,Switzerland,Spain,Cross-border
2274,12:49:48,12-04-2022,4727402217,28833830872,278722,Turkish lira,Euro,Spain,Germany,ACH
2275,13:47:59,02-03-2022,13721861579,56628875505,210342.06,US dollar,Dirham,Nigeria,UAE,Credit card
2276,05:40:11,06-03-2022,83820149236,60705960145,192256.21,Dirham,Albanian lek,Mexico,Netherlands,ACH
2277,18:43:25,01-04-2022,43123766017,60433904306,204541.55,Moroccan dirham,Swiss franc,Germany,Albania,Cross-border
2278,18:23:25,02-09-2022,15540613843,66151949819,371189.16,Turkish lira,Indian rupee,Netherlands,USA,Credit card
2279,08:37:36,13-11-2022,47737486711,25176463437,207154.43,Euro,Albanian lek,Albania,UAE,Cross-border
2280,16:25:07,13-11-2022,19533383670,71049421410,176600.37,Turkish lira,Moroccan dirham,Austria,Netherlands,Cross-border
2281,15:54:56,06-08-2022,58776342427,82305194579,399025.31,Pakistani rupee,Turkish lira,Austria,Turkey,Credit card
2282,04:59:50,11-08-2022,84341032979,64553086696,403766.37,Yen,Dirham,Albania,Pakistan,Cross-border
2283,00:27:08,23-03-2022,10933383590,62721304815,345647.77,Euro,Moroccan dirham,Austria,UAE,Cross-border
2284,06:36:59,09-04-2022,55835166936,87121872432,487773.22,Mexican Peso,Mexican Peso,Japan,Albania,Debit card
2285,17:12:06,30-05-2022,60556476343,50343377789,185090.57,Pakistani rupee,Turkish lira,Albania,Switzerland,Credit card
2286,16:10:28,24-06-2022,85291624630,57582177074,232925.89,Swiss franc,Indian rupee,Netherlands,Spain,Cash Withdrawal
2287,18:48:45,02-03-2022,97611546517,87889900256,397533.67,US dollar,Indian rupee,Spain,Pakistan,Cross-border
2288,17:10:33,18-01-2022,50062588267,15305213117,405430.79,US dollar,Turkish lira,USA,USA,Cross-border
2289,00:40:43,02-03-2022,54110807396,92022134876,479257.51,Euro,Mexican Peso,Italy,Morocco,Credit card
2290,09:56:58,30-06-2022,92180310552,64028731572,220280.36,Euro,Yen,Nigeria,Austria,ACH
2291,22:43:30,05-01-2022,31388345004,7406734079,372588.48,Turkish lira,Mexican Peso,Japan,India,Credit card
2292,09:46:07,30-10-2022,9311431389,21668934413,226479.95,Indian rupee,Albanian lek,Japan,USA,Cash Deposit
2293,22:44:49,13-07-2022,25626472617,71230073453,461677.75,US dollar,Moroccan dirham,Turkey,India,ACH
2294,16:10:11,10-06-2022,22073299044,86963394749,416959.89,Naira,Indian rupee,Switzerland,India,Cash Deposit
2295,18:19:23,19-01-2022,32480216809,36439095411,82663.3,Pakistani rupee,UK pounds,UK,USA,Cash Deposit
2296,00:58:30,20-05-2022,80020751419,33836464783,494636.63,Moroccan dirham,Dirham,France,UK,Credit card
2297,14:11:56,18-06-2022,55957649916,52990253132,493329.86,Turkish lira,Dirham,Pakistan,Turkey,Cash Withdrawal
2298,13:56:47,20-07-2022,24510496126,10924928568,60460.03,Albanian lek,Moroccan dirham,Nigeria,Japan,Credit card
2299,23:14:25,19-02-2022,40087579386,76001392323,201310.15,UK pounds,Yen,Spain,Nigeria,ACH
2300,22:40:24,12-08-2022,7532957944,77795061194,61395.28,Dirham,Turkish lira,Albania,Mexico,Cash Withdrawal
2301,07:28:31,04-03-2022,4404851733,30044161807,71901.03,Mexican Peso,Mexican Peso,Japan,Spain,Cheque
2302,23:19:11,21-10-2022,32568780985,7434644709,206144.11,Turkish lira,Indian rupee,Spain,Morocco,Credit card
2303,15:09:49,26-12-2022,13685231776,37305330249,196473.02,Naira,Naira,USA,Mexico,ACH
2304,17:17:12,12-09-2022,87893454619,10178515891,245069.49,Euro,Indian rupee,UAE,Germany,Cross-border
2305,18:57:45,26-12-2022,37751976493,38265551944,25496.71,Albanian lek,Pakistani rupee,Netherlands,Japan,Cross-border
2306,04:47:48,07-06-2022,54091067210,20334321269,486342.83,Dirham,Turkish lira,UAE,France,Cross-border
2307,05:56:29,31-12-2022,9136345748,88505043820,234217.11,Turkish lira,Euro,Germany,Japan,Cash Withdrawal
2308,20:37:21,03-08-2022,74185719457,77408850098,498305.19,Swiss franc,Pakistani rupee,Nigeria,Japan,Credit card
2309,11:17:17,25-10-2022,78744357718,8267603960,93538.82,Swiss franc,UK pounds,UK,Japan,Credit card
2310,19:11:13,20-08-2022,3669171513,28434466358,476872.95,Turkish lira,Albanian lek,Turkey,USA,Debit card
2311,21:17:21,05-07-2022,26261213871,83164183015,484645.3,Euro,Indian rupee,USA,Austria,Credit card
2312,08:21:12,27-11-2022,58923948330,93314020096,248418.29,Dirham,Swiss franc,Netherlands,Mexico,Credit card
2313,01:47:27,15-09-2022,82417384083,77525913526,81416.98,Swiss franc,Swiss franc,France,India,Cross-border
2314,09:17:10,03-10-2022,65382589946,16769885064,351500.43,US dollar,Moroccan dirham,Nigeria,Spain,Credit card
2315,07:12:13,15-02-2022,57188351541,37839167611,452836.93,Naira,Yen,Germany,Albania,Cash Deposit
2316,04:08:16,03-12-2022,73251442066,56478011133,362165.43,Euro,Yen,India,Italy,Credit card
2317,04:08:25,05-10-2022,49452608787,5901638993,461343.47,Mexican Peso,Indian rupee,Albania,Nigeria,Debit card
2318,06:48:59,22-09-2022,91945172628,40504215789,357128.35,Mexican Peso,US dollar,UK,Pakistan,Cash Withdrawal
2319,14:51:09,16-12-2022,51800596436,83365169107,130209.34,Yen,Naira,Netherlands,Turkey,Cross-border
2320,10:47:17,19-10-2022,71325639985,50255681523,193252.25,UK pounds,UK pounds,USA,France,Cross-border
2321,22:08:52,18-10-2022,1606035154,56257780125,443599.2,Dirham,Turkish lira,Austria,Albania,ACH
2322,20:19:40,13-09-2022,43674840256,21752955050,247459.5,Mexican Peso,Moroccan dirham,Mexico,Mexico,Cross-border
2323,14:18:54,05-09-2022,30945616581,24111688016,22945.78,Mexican Peso,Indian rupee,Pakistan,Netherlands,ACH
2324,08:23:46,25-11-2022,94413263425,18223833244,270709.42,US dollar,Albanian lek,Albania,India,Debit card
2325,10:45:58,02-11-2022,39996916048,66201416463,107530.33,Dirham,Mexican Peso,Netherlands,Italy,Credit card
2326,00:24:52,08-03-2022,52984431220,26489092816,388277.19,Turkish lira,Albanian lek,France,India,Cash Withdrawal
2327,06:34:36,06-02-2022,9351541068,71195269866,403695.28,Mexican Peso,Naira,Pakistan,Germany,Cheque
2328,21:53:57,19-08-2022,94845766500,58641266937,481939.31,Indian rupee,Euro,USA,Nigeria,ACH
2329,06:01:53,12-01-2022,7708067810,36004363768,204110.58,Swiss franc,Swiss franc,Netherlands,Italy,ACH
2330,02:55:16,21-08-2022,6037938509,89531027583,423446.13,UK pounds,Swiss franc,Morocco,Mexico,Cross-border
2331,01:37:05,04-05-2022,73693755767,6510305978,131796.4,Indian rupee,Turkish lira,UK,Mexico,Credit card
2332,06:09:03,01-02-2022,92310159697,13685960313,103907.28,Yen,Yen,UAE,Pakistan,Cash Withdrawal
2333,18:03:44,21-09-2022,98087515607,32040258944,77926.21,Mexican Peso,Yen,Austria,USA,Cross-border
2334,08:45:01,30-07-2022,83583658422,14813254379,461162.9,UK pounds,Swiss franc,Japan,UK,Credit card
2335,23:20:02,26-01-2022,39470462573,12827340187,482504.67,Moroccan dirham,Indian rupee,Germany,France,Credit card
2336,23:39:06,08-11-2022,440218450,1692877177,32067.36,Mexican Peso,Dirham,USA,France,ACH
2337,13:47:57,12-01-2022,74275476091,76840109125,485660.23,US dollar,Dirham,Austria,Morocco,Cross-border
2338,18:39:02,27-01-2022,48780915235,50854525913,374002.37,Euro,Turkish lira,Spain,Mexico,ACH
2339,00:15:04,27-03-2022,40230237373,2221322535,124421.91,Turkish lira,Euro,Pakistan,France,ACH
2340,21:22:05,26-10-2022,18821208905,28878923565,362203.06,US dollar,Dirham,Mexico,UK,Credit card
2341,17:41:08,24-10-2022,79595198198,24509136363,110429.06,Pakistani rupee,Yen,Austria,Nigeria,Credit card
2342,08:29:24,27-02-2022,11896286518,84172637333,248277.1,Euro,Albanian lek,Morocco,Albania,Credit card
2343,19:09:54,12-02-2022,16787587795,25476467906,110511.9,Moroccan dirham,Pakistani rupee,Pakistan,USA,Credit card
2344,19:35:43,13-03-2022,91961508012,21230649734,430039.34,Yen,Yen,Turkey,Italy,Cash Deposit
2345,00:14:42,02-06-2022,13378200778,52564558379,185044.95,Yen,Swiss franc,Albania,Pakistan,Cross-border
2346,08:18:59,10-02-2022,70645841513,70587276425,276008.92,Naira,Indian rupee,India,Switzerland,Cheque
2347,21:39:12,30-10-2022,56106525238,18573577117,9023.9,US dollar,US dollar,Japan,Germany,Cheque
2348,14:33:00,19-09-2022,61475341586,79856761659,14627.55,Euro,Moroccan dirham,UAE,Switzerland,Cash Withdrawal
2349,21:33:32,18-01-2022,99371491698,29649426108,417940.13,Naira,Dirham,Italy,Morocco,Credit card
2350,06:24:32,19-08-2022,49835480238,27817572631,191268.6,Euro,Moroccan dirham,Japan,Germany,Cross-border
2351,02:16:28,18-11-2022,54850837256,72477744405,471026.99,Pakistani rupee,Moroccan dirham,Switzerland,USA,Cash Withdrawal
2352,18:09:07,04-10-2022,97278783739,38614242654,332418.19,Euro,US dollar,UAE,Italy,Cross-border
2353,06:11:20,10-06-2022,40416124424,59061207560,17752.11,Euro,Indian rupee,Morocco,Austria,Credit card
2354,08:03:08,15-01-2022,46464776163,34892316515,131244.73,Albanian lek,Dirham,Nigeria,Spain,Credit card
2355,22:53:44,12-12-2022,40024549789,12839947359,154887.89,Pakistani rupee,Mexican Peso,Netherlands,Netherlands,Cross-border
2356,01:23:41,18-12-2022,69770961227,87971307052,349721.09,Pakistani rupee,Euro,Japan,France,Cross-border
2357,06:54:15,09-03-2022,44786310273,31420576494,209721.71,Indian rupee,Dirham,Italy,Albania,Credit card
2358,04:12:38,11-07-2022,60525503408,52243819631,441426.39,Swiss franc,US dollar,Spain,Switzerland,Cheque
2359,17:45:29,15-01-2022,12789318537,53893896934,360156.3,Albanian lek,US dollar,Germany,Austria,Credit card
2360,19:27:11,29-12-2022,30617599030,57366218672,371257.24,Indian rupee,Swiss franc,India,Spain,Credit card
2361,02:44:56,03-03-2022,45834356122,87529360231,216211.08,Turkish lira,UK pounds,Netherlands,Japan,Cross-border
2362,21:24:38,02-12-2022,62187210656,68462586991,376846.66,UK pounds,UK pounds,Albania,Japan,Cross-border
2363,06:04:58,29-04-2022,4331246530,162251051,243100.45,Mexican Peso,Pakistani rupee,France,France,Credit card
2364,01:39:28,21-02-2022,8445708216,25115168149,40434.67,UK pounds,Dirham,Turkey,Germany,Debit card
2365,13:45:09,28-11-2022,85664656592,71729093706,264756.96,Dirham,Albanian lek,Austria,India,Credit card
2366,03:46:32,31-07-2022,74484796817,99202085355,24759.77,Moroccan dirham,Dirham,UK,Netherlands,Credit card
2367,09:32:26,25-02-2022,56689512654,39011386585,174275.63,Euro,UK pounds,Japan,Austria,Credit card
2368,14:52:45,26-07-2022,70482506160,13861451676,207683.4,Yen,Swiss franc,USA,Mexico,Credit card
2369,21:08:49,29-11-2022,95821028898,19218190153,76189.83,Albanian lek,Swiss franc,Albania,Albania,Cross-border
2370,08:14:10,30-09-2022,87680597965,8530303148,395670.65,UK pounds,Albanian lek,Turkey,Morocco,Cash Withdrawal
2371,03:46:43,15-12-2022,29602377893,45228934880,180484.11,Dirham,Turkish lira,Turkey,Netherlands,ACH
2372,21:27:35,26-06-2022,74600894774,96572412522,282771.22,Pakistani rupee,Naira,USA,Spain,Cross-border
2373,22:15:40,20-02-2022,24000589155,70321349815,433736.64,Albanian lek,Swiss franc,USA,Netherlands,Cross-border
2374,17:46:48,19-11-2022,17250266640,71615738524,85193.63,Euro,US dollar,Albania,Germany,Cash Withdrawal
2375,03:38:05,24-09-2022,98402307305,65826247485,14205.92,Indian rupee,Naira,Mexico,Morocco,Cross-border
2376,11:47:27,16-02-2022,34352447047,41715179371,431329.52,Moroccan dirham,Dirham,Japan,Germany,Credit card
2377,21:25:40,02-06-2022,20194968419,4159243703,344622.02,Dirham,US dollar,Morocco,Nigeria,ACH
2378,00:58:54,25-08-2022,96866333046,75557573945,23913.16,Dirham,Turkish lira,Albania,Germany,Credit card
2379,15:35:31,17-05-2022,93791574245,63145352053,283149.87,Pakistani rupee,Dirham,Mexico,France,Credit card
2380,03:30:17,11-02-2022,1613032960,69753517635,353103.4,Pakistani rupee,Euro,Switzerland,Nigeria,Credit card
2381,09:50:57,11-05-2022,77811181330,47707658551,73932.32,Mexican Peso,Turkish lira,France,USA,Cross-border
2382,00:15:17,26-04-2022,97805876647,27105899684,38536.73,Dirham,US dollar,UK,Mexico,Cross-border
2383,21:20:45,10-12-2022,99483807330,97597345189,394898.88,Dirham,Pakistani rupee,Italy,Albania,Cross-border
2384,11:33:41,24-02-2022,63474878148,44666409427,333860.57,Dirham,Mexican Peso,Italy,USA,Cross-border
2385,05:53:03,20-07-2022,832788716,27131734567,51609.37,Yen,Albanian lek,Turkey,Italy,Cross-border
2386,01:55:17,19-07-2022,31735068319,11381271122,458804.27,Naira,Moroccan dirham,Netherlands,Netherlands,Debit card
2387,23:43:37,27-08-2022,33203070228,54761330117,62738.56,Turkish lira,Moroccan dirham,UAE,Mexico,Cross-border
2388,05:01:54,31-03-2022,57258722241,11405629525,385853.41,Euro,Pakistani rupee,Turkey,India,Cash Deposit
2389,22:45:24,20-10-2022,61358994811,38591096150,460288.61,UK pounds,UK pounds,India,Italy,Debit card
2390,11:21:04,07-02-2022,32755893953,4009802737,113390.45,Pakistani rupee,Albanian lek,Nigeria,USA,ACH
2391,08:04:21,03-05-2022,8121602196,47440611468,143827.31,Albanian lek,Swiss franc,Albania,Germany,Credit card
2392,11:48:28,04-01-2022,45463023834,77305414784,274141.2,Albanian lek,US dollar,Germany,Albania,Credit card
2393,19:15:59,06-07-2022,83658656970,74363395681,487824.1,Pakistani rupee,Pakistani rupee,Albania,Switzerland,Cross-border
2394,14:04:59,08-06-2022,93707203862,7007476041,9571.04,Albanian lek,Naira,Albania,UAE,Debit card
2395,21:21:04,05-02-2022,76423573742,32972580949,160097.6,Moroccan dirham,Yen,Morocco,UK,Credit card
2396,20:35:08,01-09-2022,13368175134,34184289546,428032.01,Albanian lek,US dollar,Turkey,Nigeria,Cross-border
2397,14:58:45,05-08-2022,53137314412,53618938089,181891.48,Swiss franc,Turkish lira,India,Spain,ACH
2398,03:20:35,22-08-2022,89711569802,10770968363,198904.57,UK pounds,Pakistani rupee,USA,Nigeria,Cross-border
2399,16:00:42,28-03-2022,72750878948,50109482961,472647.28,Turkish lira,US dollar,Turkey,Pakistan,Credit card
2400,06:58:21,21-08-2022,83532275668,76297222511,362323.06,US dollar,US dollar,Austria,Italy,Cash Deposit
2401,12:49:27,04-10-2022,38953782783,51629307958,273696.34,Dirham,Indian rupee,Germany,Nigeria,Credit card
2402,17:02:20,05-08-2022,31655746195,67772179076,416150.94,Mexican Peso,Euro,UK,UAE,ACH
2403,05:12:38,23-08-2022,42663043395,24045856795,15331.75,Naira,Dirham,Morocco,Italy,Cheque
2404,21:53:11,06-04-2022,93216670294,9279479500,324985.34,UK pounds,Naira,India,USA,ACH
2405,16:41:38,18-12-2022,86650403909,91036638161,491661.04,UK pounds,UK pounds,Mexico,Switzerland,Credit card
2406,17:12:30,03-10-2022,48873529466,15367181153,321196.47,Yen,Turkish lira,Italy,France,Debit card
2407,09:41:23,16-01-2022,59005453490,7329949665,403926.31,UK pounds,Turkish lira,Switzerland,UK,Credit card
2408,11:05:30,03-09-2022,1176412007,33359179904,463063.2,US dollar,Indian rupee,UAE,Austria,Cross-border
2409,14:54:25,16-06-2022,48834689633,80873965518,361711.37,Albanian lek,Albanian lek,Mexico,USA,ACH
2410,00:20:01,12-01-2022,79433793732,34165019476,383026.97,Albanian lek,Swiss franc,Mexico,Nigeria,Cash Withdrawal
2411,05:16:59,24-02-2022,48967297473,4410701576,83389.76,US dollar,Naira,Albania,UK,Cross-border
2412,23:31:43,07-01-2022,2356837274,66718656659,72672.23,Euro,Naira,USA,USA,Cross-border
2413,07:40:14,14-07-2022,91392821889,92869669181,117668.65,Moroccan dirham,Yen,Albania,UAE,Cheque
2414,19:35:56,25-01-2022,49723358944,61699481205,441648.32,US dollar,Indian rupee,Morocco,UAE,Cash Deposit
2415,13:03:34,21-07-2022,47441316683,25153715220,120302.87,Indian rupee,Swiss franc,USA,Morocco,Cross-border
2416,06:09:58,30-04-2022,81336636684,22790074716,485620.83,Yen,Naira,Austria,Albania,Debit card
2417,01:57:56,01-07-2022,24159912384,17686385480,331308.74,Euro,Turkish lira,Turkey,Mexico,Debit card
2418,12:15:47,11-09-2022,46908216756,57257711068,488979.28,Pakistani rupee,Naira,Albania,UAE,Cheque
2419,10:05:08,06-11-2022,99300734927,29422235780,213867.35,Naira,Albanian lek,UAE,Turkey,Debit card
2420,15:06:15,07-05-2022,86988750061,76955037092,458967.97,Albanian lek,Mexican Peso,UK,Netherlands,ACH
2421,01:57:30,16-06-2022,81826672532,81197082529,445715.7,Dirham,Turkish lira,Nigeria,Albania,ACH
2422,09:04:00,27-10-2022,6781010625,71142020072,295434.25,Indian rupee,US dollar,Nigeria,Switzerland,Cash Deposit
2423,03:49:15,03-02-2022,63647250545,67631149579,27704.53,Dirham,Pakistani rupee,Morocco,Switzerland,ACH
2424,05:22:20,20-04-2022,82812929360,25685605597,413534.64,Albanian lek,Mexican Peso,India,Spain,Debit card
2425,03:48:42,30-07-2022,38358895901,82606839477,212412.04,UK pounds,Euro,Austria,Italy,Credit card
2426,01:47:26,22-05-2022,86865904617,79923050115,39171.37,Turkish lira,Moroccan dirham,Morocco,USA,Cash Withdrawal
2427,03:37:20,17-03-2022,11933672133,60611899389,205773.32,Turkish lira,Moroccan dirham,Pakistan,Pakistan,Cash Withdrawal
2428,04:32:45,23-11-2022,35411290434,60071435129,24896.82,Albanian lek,Albanian lek,Pakistan,UK,ACH
2429,10:52:58,03-01-2022,10660699617,95454296522,205647.77,Naira,Naira,Pakistan,UK,Cash Deposit
2430,10:36:08,12-01-2022,78344917309,86145253772,97687.48,Moroccan dirham,Dirham,Mexico,Switzerland,ACH
2431,08:38:41,08-03-2022,59806895436,9884526704,448587.4,Mexican Peso,Indian rupee,Morocco,Nigeria,Cross-border
2432,19:04:46,18-11-2022,88263634754,61512699053,187342.36,Naira,Indian rupee,Germany,Nigeria,Cheque
2433,20:46:29,27-05-2022,9579936102,81042139787,295776.67,Albanian lek,Albanian lek,India,UK,Debit card
2434,10:13:32,04-04-2022,3444954401,24346732741,82146.63,Mexican Peso,Dirham,Austria,UK,Cash Withdrawal
2435,14:32:37,11-09-2022,17656923651,43790085488,62613.86,Pakistani rupee,Turkish lira,Pakistan,Pakistan,ACH
2436,15:49:43,07-05-2022,87383757676,19355956188,183578.01,Euro,UK pounds,UAE,Turkey,Cash Deposit
2437,13:32:05,08-02-2022,21831736205,53922282535,284560.69,Euro,Mexican Peso,India,France,Cash Withdrawal
2438,01:08:20,18-06-2022,7250637533,64374646100,218409.91,Swiss franc,Turkish lira,France,Austria,ACH
2439,18:33:26,30-09-2022,65680022172,7929648728,80053.66,UK pounds,Moroccan dirham,USA,Italy,ACH
2440,21:50:25,20-07-2022,68875598379,69783340021,168580.8,Turkish lira,Naira,Turkey,Turkey,Cash Deposit
2441,05:35:40,16-03-2022,93490348500,80153511801,368941.22,Moroccan dirham,Mexican Peso,Netherlands,Pakistan,Cross-border
2442,07:00:22,15-08-2022,80928494849,56530308766,43895.58,Swiss franc,UK pounds,Japan,Turkey,Debit card
2443,10:47:26,19-12-2022,33644205474,79094351404,247533.59,Pakistani rupee,UK pounds,Nigeria,Austria,Cross-border
2444,06:48:30,09-11-2022,38912533141,72365107571,307722.19,Euro,Pakistani rupee,UAE,Germany,ACH
2445,20:22:48,21-01-2022,50890438960,90951756823,218733.27,Euro,Indian rupee,Albania,France,Cross-border
2446,12:41:14,28-02-2022,40208684299,76400077387,278546.89,Euro,Swiss franc,Albania,UK,Credit card
2447,06:06:48,27-11-2022,18080625211,11259843365,200411.16,Turkish lira,US dollar,India,UK,Credit card
2448,09:45:05,06-05-2022,84644684381,29890246623,378107.37,Dirham,Moroccan dirham,UK,Italy,Cross-border
2449,15:43:14,18-04-2022,77239493946,62076231579,137606.18,Pakistani rupee,Dirham,Nigeria,USA,ACH
2450,19:20:08,30-11-2022,36712737749,37259113319,371556.83,Indian rupee,US dollar,Nigeria,Germany,ACH
2451,11:18:58,21-10-2022,56462659778,6875274629,14238.01,Dirham,Naira,Italy,India,Cheque
2452,23:52:30,11-05-2022,45702840564,29192237341,462460.12,Swiss franc,Pakistani rupee,UAE,Turkey,Cash Deposit
2453,19:47:14,16-04-2022,41428916225,4987726918,41526.67,Euro,US dollar,UAE,Mexico,Cross-border
2454,05:06:44,23-06-2022,53133086597,23777115244,391009.98,Pakistani rupee,Pakistani rupee,USA,Spain,ACH
2455,02:44:05,11-03-2022,54097817023,21003929216,80760.36,Dirham,US dollar,Morocco,UK,Cross-border
2456,23:48:00,20-08-2022,35550572796,16529122220,265582.99,Naira,Naira,Nigeria,Austria,Cheque
2457,13:27:21,02-05-2022,84563621740,490940368,344232.96,Euro,Mexican Peso,Italy,Germany,Cheque
2458,06:11:14,19-11-2022,76719654142,56027152992,411157.95,Turkish lira,Mexican Peso,Albania,Spain,Cash Deposit
2459,03:52:27,09-12-2022,30029519388,39713290775,460597.11,UK pounds,Yen,Morocco,UK,Credit card
2460,08:17:35,11-07-2022,84943570438,88675687225,131118.75,Dirham,Albanian lek,Albania,Turkey,Cross-border
2461,05:32:32,16-06-2022,466834415,86494838419,398086.16,Moroccan dirham,Moroccan dirham,India,Mexico,Cross-border
2462,11:28:40,18-09-2022,95790151004,91509396912,363586.55,Euro,Albanian lek,Turkey,Nigeria,Cross-border
2463,23:46:19,02-04-2022,3331639963,54457344320,221494.36,Swiss franc,Indian rupee,Albania,India,Cross-border
2464,02:49:31,31-01-2022,85271714385,45270788928,96641.27,Mexican Peso,UK pounds,India,Spain,Cross-border
2465,23:21:07,11-03-2022,71556566582,64188207888,227104.16,Pakistani rupee,US dollar,France,Japan,Cross-border
2466,00:37:45,28-02-2022,99135935771,42626180093,481023.4,Mexican Peso,Turkish lira,India,Nigeria,Cheque
2467,21:19:42,13-09-2022,38414104888,16298509425,118554.82,Swiss franc,Turkish lira,Germany,Albania,ACH
2468,15:24:32,02-08-2022,62193534945,87928765959,183651.13,Moroccan dirham,Dirham,Japan,Albania,Debit card
2469,07:38:33,19-05-2022,86249862620,13032439673,400823.52,Naira,Moroccan dirham,USA,UAE,Cross-border
2470,22:01:17,23-11-2022,58712323587,21007372133,116340.73,Turkish lira,Moroccan dirham,Morocco,Turkey,Cash Deposit
2471,22:30:36,15-02-2022,10451831983,40841612331,319049.2,Albanian lek,Euro,Spain,Pakistan,Cross-border
2472,04:18:24,16-11-2022,1548377527,30420108939,330493.52,Dirham,Indian rupee,Mexico,Albania,Cross-border
2473,11:52:26,29-05-2022,81786050959,54221429731,113177.45,Swiss franc,Swiss franc,Turkey,Switzerland,Cash Deposit
2474,19:47:57,10-02-2022,45840801273,68148605273,29991.82,Moroccan dirham,Pakistani rupee,UAE,Pakistan,Cross-border
2475,03:57:32,06-11-2022,77689398107,27059748462,215807.89,Mexican Peso,Dirham,Pakistan,USA,Cross-border
2476,08:10:58,24-06-2022,45572582363,1656218984,215985.32,Moroccan dirham,Moroccan dirham,Spain,USA,Credit card
2477,23:19:20,29-08-2022,78443862280,7414638585,86350.55,UK pounds,Indian rupee,UAE,India,Cross-border
2478,02:27:31,30-08-2022,66455252769,65396467903,75469.71,Pakistani rupee,Indian rupee,Nigeria,Pakistan,Cash Deposit
2479,10:51:43,27-11-2022,62778756866,92159252000,107543.56,UK pounds,Yen,Pakistan,Turkey,Cheque
2480,21:11:26,28-02-2022,44365256367,70710324511,216960.94,Dirham,Dirham,Nigeria,Austria,Cross-border
2481,12:05:27,28-06-2022,11986609533,33248754915,72923.52,Dirham,Turkish lira,Morocco,Morocco,Cash Withdrawal
2482,21:22:13,07-01-2022,3112178842,11334718826,88064.39,Albanian lek,Euro,Albania,Italy,Credit card
2483,08:48:40,12-08-2022,99009930001,48402545692,60423.37,UK pounds,Yen,Nigeria,Italy,Cross-border
2484,03:16:40,09-04-2022,2351287547,35126091043,45308.87,Albanian lek,Swiss franc,UAE,Turkey,Credit card
2485,11:27:34,07-12-2022,79323971816,40305585227,77275.31,Turkish lira,US dollar,Italy,Austria,Credit card
2486,11:31:21,22-12-2022,37840381830,79367535448,83035.25,Pakistani rupee,Pakistani rupee,Austria,Austria,ACH
2487,08:12:35,10-07-2022,83167412550,94249138837,171869.85,US dollar,Albanian lek,Albania,Mexico,Cross-border
2488,11:20:41,15-10-2022,61360375774,14704228064,413550.42,Indian rupee,Swiss franc,Netherlands,Germany,Credit card
2489,08:42:51,29-01-2022,30638669084,93510246085,429382.23,Mexican Peso,Albanian lek,Japan,Pakistan,Cross-border
2490,05:22:43,11-10-2022,14484254036,80954933040,32691.32,US dollar,Turkish lira,Pakistan,Switzerland,Cash Deposit
2491,14:37:25,03-08-2022,85340455879,63905936838,113552.08,Pakistani rupee,Swiss franc,UK,Albania,Cash Deposit
2492,00:03:30,31-10-2022,1135660722,28145118270,206573.74,Mexican Peso,US dollar,Spain,Morocco,Cross-border
2493,14:53:41,18-05-2022,28797732905,91169574912,409250.05,Naira,Indian rupee,Netherlands,Morocco,Credit card
2494,19:44:06,11-08-2022,25265448968,84121722850,242534.39,Moroccan dirham,Naira,Mexico,Switzerland,Cross-border
2495,13:40:42,14-10-2022,8573902443,10401828624,124994.19,UK pounds,Turkish lira,Nigeria,Spain,Cheque
2496,01:18:05,16-07-2022,21038550345,23369515236,235018.67,Yen,Indian rupee,UK,Switzerland,Cross-border
2497,12:59:31,02-12-2022,77371034470,39603678920,70006.53,Pakistani rupee,Swiss franc,France,Japan,Cross-border
2498,21:55:21,08-03-2022,33638792942,31059219781,339022.51,Moroccan dirham,Swiss franc,Austria,India,Cash Deposit
2499,23:31:16,01-12-2022,56365972385,65638104218,12637.81,Albanian lek,Indian rupee,Nigeria,Morocco,Cash Withdrawal
2500,00:22:16,17-03-2022,27555496025,21495159124,257746.44,Turkish lira,Dirham,Austria,Austria,Credit card
2501,12:07:32,29-08-2022,79862465486,38672789664,79940.07,Turkish lira,Turkish lira,Mexico,Italy,Credit card
2502,10:39:11,19-09-2022,2983600737,5332950407,343334.06,Turkish lira,Albanian lek,Germany,Turkey,Debit card
2503,00:01:33,28-06-2022,97106833478,82704170980,230305.81,Euro,Dirham,Pakistan,Turkey,Cross-border
2504,18:47:45,18-06-2022,26203237471,87350163145,459305.95,Naira,Swiss franc,France,Albania,Cash Deposit
2505,05:30:32,11-01-2022,98528461428,18351181880,226821.77,Pakistani rupee,Yen,France,Albania,Credit card
2506,02:38:21,19-07-2022,48542110425,8115102747,88808.03,UK pounds,Turkish lira,USA,Germany,ACH
2507,15:22:51,07-06-2022,14648210060,82260248608,368107.45,Dirham,Moroccan dirham,Switzerland,USA,ACH
2508,06:13:23,01-11-2022,10910787869,27804986000,255442.06,US dollar,Naira,Turkey,Pakistan,Cheque
2509,22:22:35,22-05-2022,41253418802,98263177560,77428.78,Dirham,Euro,UAE,Turkey,Cash Deposit
2510,01:12:38,08-05-2022,58602902169,93846967968,33014.86,Turkish lira,Yen,USA,Netherlands,Cash Deposit
2511,19:38:43,27-05-2022,38293317865,79009022629,174479.63,US dollar,Turkish lira,Germany,Mexico,ACH
2512,03:04:40,20-02-2022,34235478742,55979260014,45548.44,Yen,Mexican Peso,Germany,Italy,Cross-border
